first,second
iterations,24
lowers,"[-Inf, -Inf, 3081.567144011245, 3081.567144011245, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3080.9783617623334, 3081.567144011245]"
times,"[0.0, 10.302197933197021, 12.708531856536865, 18.287068843841553, 18.897417068481445, 23.65425705909729, 28.448768854141235, 33.43608999252319, 38.674049854278564, 44.447006940841675, 50.9867799282074, 62.997889041900635, 73.3384690284729, 86.7350709438324, 100.67156386375427, 113.22545099258423, 127.08777594566345, 140.41982698440552, 156.16158485412598, 169.86904096603394, 184.96103286743164, 199.9585690498352, 215.0685830116272, 233.1194109916687, 248.65446400642395, 262.33819699287415, 279.42340207099915, 294.10134291648865, 294.1013469696045]"
uppers,"[Inf, 3102.4636218239384, 3102.4636218239384, 3101.3766688470328, 3101.3766688470328, 3099.931641684905, 3099.6690707873477, 3099.3509917102197, 3098.961321568455, 3098.891613307846, 3098.843026936616, 3098.2640387333086, 3098.1443967162168, 3098.0746884556083, 3097.810594983329, 3097.740918239893, 3097.6347605344536, 3097.5651665582154, 3094.5231017184733, 3094.504431852607, 3094.3440996316094, 3093.436148741567, 3093.4327027252484, 3093.214341580642, 3088.3965809994097, 3087.8103677552463, 3087.5065230056052, 3080.483410196649, 3081.567144011245]"
q_inj_plat,599999.9999975304
q_liq_plat,4288.131125901527
