first,second
lowers,"[-Inf, -Inf, 2611.005668744596, 2611.005668744596, 2611.0056687562774, 2611.0056687562774, 2610.75647131232, 2610.75647131232, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2610.9978183242506, 2611.0056687562774]"
times,"[0.0, 8.889039993286133, 9.30078911781311, 16.215917110443115, 16.539185047149658, 24.730156898498535, 25.09709405899048, 30.69964289665222, 30.977855920791626, 40.0301399230957, 40.312690019607544, 46.97620701789856, 47.260732889175415, 54.33410310745239, 54.73344802856445, 62.658835887908936, 79.1678569316864, 90.00866794586182, 102.80833506584167, 121.81806993484497, 133.23299288749695, 158.384015083313, 177.09502291679382, 187.4331820011139, 199.82928705215454, 212.296777009964, 225.12386989593506, 241.13316798210144, 255.14673709869385, 267.5581200122833, 287.1398129463196, 306.0008909702301, 325.31702399253845, 341.03465390205383, 358.5576961040497, 380.9221770763397, 397.52618193626404, 411.424458026886, 428.247526884079, 442.28226804733276, 461.7710518836975, 478.2860789299011, 499.0560579299927, 521.7458560466766, 531.7865118980408, 550.5344469547272, 560.2919781208038, 573.563679933548, 573.5636830329895]"
uppers,"[Inf, 2613.0718718039375, 2613.0718718039375, 2613.0718718039375, 2613.0718718039375, 2613.057379097579, 2613.057379097579, 2613.057379097579, 2613.057379097579, 2613.0399207665278, 2613.0399207665278, 2613.0399207665287, 2613.0399207665287, 2613.02542806017, 2613.02542806017, 2612.8836882914916, 2612.8691955851327, 2612.8691955851327, 2611.932564803123, 2611.932564803123, 2611.9239265140654, 2611.923926514066, 2611.917364917771, 2611.917364917771, 2611.912338489868, 2611.9094338077066, 2611.9094338077066, 2611.905165486808, 2611.9051654868076, 2611.9028722114117, 2611.9028722114126, 2611.8978343141866, 2611.897804622543, 2611.8906727804497, 2611.8906727804497, 2611.8471181396453, 2611.8471181396453, 2611.708834976603, 2611.7087570765025, 2611.7069849114646, 2611.697731429067, 2611.694264370144, 2611.694264370144, 2611.683238722708, 2611.683238722708, 2611.3631915159417, 2611.363179310791, 2610.829731735472, 2611.0056687562774]"
q_inj_plat,685101.2647136385
q_liq_plat,3499.999999998649
