first,second
lowers,"[-Inf, -Inf, 2920.8051004630643, 2920.8051004630643, 2920.55625126816, 2920.55625126816, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.4174413751616, 2920.8051004630643]"
times,"[0.0, 11.429478883743286, 13.156477928161621, 18.723403930664062, 19.09504795074463, 25.00819683074951, 25.601959943771362, 32.02380299568176, 32.37161302566528, 38.16325902938843, 38.45235085487366, 48.98003101348877, 49.25666403770447, 56.012181997299194, 56.28418684005737, 62.906513929367065, 63.182852029800415, 74.19314384460449, 74.4707670211792, 84.65847587585449, 84.93262791633606, 95.56878399848938, 95.83513498306274, 110.16400098800659, 110.44054794311523, 121.51685500144958, 131.39097785949707, 143.30163097381592, 155.33357000350952, 155.33357405662537]"
uppers,"[Inf, 2926.1822309741888, 2926.1822309741888, 2926.049556393471, 2926.049556393471, 2925.9425070934, 2925.9425070934, 2925.801012828988, 2925.801012828988, 2925.481766902758, 2925.481766902758, 2925.3728496378803, 2925.3728496378803, 2925.269256735153, 2925.269256735153, 2925.2475440750222, 2925.2475440750222, 2925.2466593800787, 2925.2466593800787, 2925.1319602482145, 2925.1319602482145, 2925.0224712846116, 2925.0224712846116, 2925.00075862448, 2925.00075862448, 2921.219389019669, 2921.163924753485, 2920.979311293531, 2920.8027937331053, 2920.8051004630643]"
q_inj_plat,649605.7080342085
q_liq_plat,3999.9999999982733
