first,second
iterations,15
lowers,"[-Inf, -Inf, 3382.6992074925074, 3382.6992074925074, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263]"
times,"[0.0, 16.858982801437378, 19.39951801300049, 34.68269181251526, 35.305070877075195, 55.374549865722656, 55.85592579841614, 65.89307188987732, 66.36852788925171, 87.78838992118835, 88.3259048461914, 114.88999891281128, 115.30829691886902, 134.91115498542786, 135.3129358291626, 160.87545680999756, 161.30237698554993, 182.82868599891663, 183.24258184432983, 208.5355257987976, 208.9516339302063, 228.4989719390869, 228.9679079055786, 259.67671489715576, 281.73765683174133, 309.269150018692, 326.5266718864441, 353.5899589061737, 353.58996391296387]"
uppers,"[Inf, 3395.471682205543, 3395.471682205543, 3395.4716822055416, 3395.4716822055416, 3395.42727396794, 3395.42727396794, 3395.427273967939, 3395.427273967939, 3394.789714232351, 3394.789714232351, 3392.2381753529867, 3392.2381753529867, 3392.238175352987, 3392.238175352987, 3390.6005135642426, 3390.6005135642426, 3390.6005135642426, 3390.6005135642426, 3390.5351390197384, 3390.5351390197384, 3390.5351390197393, 3390.5351390197393, 3388.884878092064, 3388.8848780920634, 3388.4163881165073, 3388.4163881165077, 3381.9370095465, 3382.69920749263]"
q_inj_plat,663394.2941590903
q_liq_plat,4249.999999997778
