first,second
iterations,8
lowers,"[-Inf, -Inf, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597]"
times,"[0.0, 13.897334098815918, 14.64154601097107, 19.045236110687256, 19.504372119903564, 29.099895000457764, 29.54907512664795, 37.18903207778931, 37.62361121177673, 51.02988004684448, 51.47546720504761, 73.30170512199402, 73.73190307617188, 91.49205613136292, 102.49777603149414, 121.2379150390625, 121.23791909217834]"
uppers,"[Inf, 3159.8052725622874, 3159.8052725622874, 3159.598326684455, 3159.598326684455, 3158.6431794351333, 3158.6431794351333, 3152.8119353474285, 3152.8119353474285, 3150.5436193315995, 3150.5436193315995, 3150.4210634460287, 3150.4210634460287, 3145.2082436644077, 3144.271263713302, 3125.9685909146783, 3133.1426977133597]"
q_inj_plat,506162.60165495344
q_liq_plat,3695.4299782283397
