first,second
iterations,19
lowers,"[-Inf, -Inf, 3536.9516967279824, 3536.9516967279824, 3536.9516967279824, 3536.9516967279824, 3535.3809960942926, 3535.3809960942926, 3535.3809960942926, 3535.3809960942926, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3510.293258037513, 3536.9516967279824]"
times,"[0.0, 21.29194712638855, 22.42807698249817, 42.285293102264404, 43.45927095413208, 62.26023006439209, 63.28866505622864, 81.0046591758728, 82.25012612342834, 97.20903706550598, 97.68002414703369, 118.2375841140747, 138.44630217552185, 160.21461296081543, 184.53553009033203, 202.70985102653503, 223.84917402267456, 247.83056497573853, 268.7090940475464, 291.0780041217804, 317.81849908828735, 342.943078994751, 369.20033502578735, 395.2664029598236, 413.1696951389313, 437.2379400730133, 437.23794507980347]"
uppers,"[Inf, 3570.762726074936, 3570.762726074936, 3570.6807772034035, 3570.6807772034035, 3569.422380040397, 3569.422380040397, 3569.340431168865, 3569.340431168865, 3560.415901659555, 3560.415901659555, 3556.8102907457605, 3556.7283418742286, 3553.046303234234, 3546.047967813898, 3543.248855611976, 3543.166906740437, 3543.102044142806, 3543.0200952712757, 3541.030978190386, 3539.2696408717393, 3538.431217385826, 3538.3521330313397, 3537.1802590287252, 3537.0983101571946, 3534.962381607139, 3536.9516967279824]"
q_inj_plat,549999.9999982866
q_liq_plat,4761.026747359136
