first,second
iterations,59
lowers,"[-Inf, -Inf, 3580.2994404627198, 3580.2994404627198, 3580.2994404627198, 3580.2994404627198, 3580.2994404627198, 3580.2994404627198, 3580.2994404627198, 3580.2994404627198, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3568.0515118402022, 3580.2994404627198]"
times,"[0.0, 32.783493995666504, 35.44034004211426, 62.190990924835205, 63.28298497200012, 87.84950613975525, 88.88905596733093, 114.04952096939087, 115.18152403831482, 145.94767308235168, 146.92889308929443, 172.49165201187134, 173.5779299736023, 203.4748010635376, 234.9791579246521, 264.13695001602173, 290.26515197753906, 320.4395840167999, 345.9172739982605, 380.41393995285034, 432.15363907814026, 462.8523139953613, 504.32389211654663, 532.9882199764252, 570.5830380916595, 601.2479350566864, 634.9000189304352, 677.9092140197754, 708.6000709533691, 745.0399160385132, 772.6422710418701, 822.4335081577301, 861.6130239963531, 890.0305709838867, 917.8271570205688, 948.4720571041107, 989.3356111049652, 1018.6189789772034, 1056.1458449363708, 1091.8778550624847, 1128.0724029541016, 1166.9686880111694, 1203.7557950019836, 1249.2061259746552, 1287.507565021515, 1320.8711659908295, 1353.0663311481476, 1384.4147770404816, 1428.753037929535, 1477.7074160575867, 1520.1612920761108, 1573.666053056717, 1606.6244950294495, 1663.4360229969025, 1690.2424609661102, 1714.6121289730072, 1751.0869719982147, 1784.9899480342865, 1830.5931799411774, 1877.6662831306458, 1916.5440320968628, 1952.4941589832306, 1980.6325211524963, 2019.1546261310577, 2060.3385710716248, 2105.6745121479034, 2140.5415201187134, 2140.541526079178]"
uppers,"[Inf, 3619.9901861520934, 3619.9901861520934, 3618.9107617676927, 3618.9107617676927, 3616.045795068399, 3616.045795068399, 3614.9663706840033, 3614.9663706840033, 3614.409445327351, 3614.409445327351, 3614.1450013030953, 3614.1450013030953, 3606.056132616036, 3605.1809061981157, 3604.101481813712, 3602.111741532339, 3601.639129807987, 3601.5609720625694, 3601.533251080634, 3594.981053810314, 3594.9159164830417, 3594.2638332522374, 3593.7944283529823, 3591.2857925061767, 3591.2716831555636, 3591.2468526620523, 3591.220655178905, 3590.6278475375134, 3590.3866021153162, 3590.319442168544, 3590.072103569719, 3589.3598115498307, 3589.0472740716796, 3588.553596639449, 3588.5258756575145, 3587.900379839371, 3587.857244680918, 3587.7921073536454, 3587.153318787509, 3587.1065082492246, 3586.4493797282757, 3586.442211031621, 3586.194872432796, 3585.6866962330996, 3585.6215589058265, 3585.113701340613, 3584.6080268718024, 3584.5592509542635, 3584.3851212919253, 3584.3484672966433, 3584.193981838192, 3584.1086103377615, 3583.6195689397055, 3583.554431612425, 3582.4548033715128, 3582.046061518773, 3582.0225982948646, 3581.9809241915004, 3581.831783256122, 3581.670374207283, 3581.594471662413, 3581.3782022649903, 3581.313064937721, 3581.036038493945, 3580.8574506395244, 3580.1639105630993, 3580.2994404627198]"
q_inj_plat,649999.9999966724
q_liq_plat,4820.1362459941365
