,QGL,Qo,PFUNDO,TFUNDO,psup,TMONCKTP,qliq,QGT,Qw,bsw,rgo,rgl,delta_p
0,0.0,297.0,126.0007305632932,88.0,10.0,9.02060211984015,300.0,6000.0,3.0,0.01,20.2020202020202,20.0,116.0007305632932
1,0.0,270.0,128.68670813259246,88.0,10.0,9.949274230812277,300.0,6000.0,30.0,0.1,22.22222222222222,20.0,118.68670813259246
2,0.0,210.0,134.4338252634847,88.0,10.0,12.451670258564958,300.0,6000.0,90.0,0.3,28.571428571428573,20.0,124.43382526348469
3,0.0,120.0,142.97803196839985,88.0,10.0,16.106038681815043,300.0,6000.0,180.0,0.6,50.0,20.0,132.97803196839985
4,0.0,29.999999999999996,151.14111765524393,88.0,10.0,7.891531027800331,300.0,6000.0,270.0,0.9,200.00000000000009,20.0,141.14111765524393
5,0.0,3.0000000000000027,152.60721350646057,88.0,10.0,8.405044585779354,300.0,6000.0,297.0,0.99,1999.9999999999984,20.0,142.60721350646057
6,0.0,297.0,43.57674034326981,88.0,10.0,-5.119115169457949,300.0,60000.0,3.0,0.01,202.020202020202,200.0,33.57674034326981
7,0.0,270.0,45.03139301092089,88.0,10.0,-3.780833253241364,300.0,60000.0,30.0,0.1,222.22222222222223,200.0,35.03139301092089
8,0.0,210.0,48.21885912804655,88.0,10.0,-0.9574681565657844,300.0,60000.0,90.0,0.3,285.7142857142857,200.0,38.21885912804655
9,0.0,120.0,53.137946698712895,88.0,10.0,4.622837802298365,300.0,60000.0,180.0,0.6,500.0,200.0,43.137946698712895
10,0.0,29.999999999999996,42.01390324004523,88.0,10.0,4.369224616664645,300.0,60000.0,270.0,0.9,2000.0000000000005,200.0,32.01390324004523
11,0.0,3.0000000000000027,37.13332893793437,88.0,10.0,5.8274186480305055,300.0,60000.0,297.0,0.99,19999.99999999998,200.0,27.133328937934373
12,0.0,297.0,40.19300436652501,88.0,10.0,-12.510472050928618,300.0,150000.0,3.0,0.01,505.050505050505,500.0,30.19300436652501
13,0.0,270.0,41.19165725748888,88.0,10.0,-11.168131381311634,300.0,150000.0,30.0,0.1,555.5555555555555,500.0,31.191657257488878
