X	Layer 1: FBH Pressure
0	430
7,80768569552463	429,843846209282
16,2910364993179	429,674179109751
25,4500524113767	429,490998701408
35,2847334317042	429,294304984253
45,7950795602939	429,084097958286
56,9810907971555	428,860377623507
68,8427671422794	428,623143979915
81,380108595672	428,372397027511
94,59311515733	428,108136766296
108,481786827257	427,830363196268
123,046123605449	427,539076317427
138,28612549191	427,234276129775
154,201792486633	426,915962633311
170,793124589625	426,584135828034
188,060121800885	426,238795713945
206,002784120411	425,879942291044
224,621111548203	425,507575559331
243,915104084263	425,121695518805
263,884761728589	424,722302169468
284,53008448118	424,309395511318
305,851072342039	423,882975544356
327,847725311165	423,443042268582
350,520043388555	422,989595683996
373,868026574215	422,522635790597
397,89167486814	422,042162588387
422,590988270333	421,548176077364
447,965966780792	421,040676257529
474,016610399517	420,519663128882
500,74291912651	419,985136691422
528,144892961769	419,437096945151
556,222531905293	418,875543890067
584,975835957085	418,300477526171
614,404805117144	417,711897853463
644,509439385468	417,109804871943
675,28973876206	416,494198581611
706,745703246921	415,865078982466
738,877332840045	415,22244607451
771,684627541437	414,566299857741
805,167587351094	413,89664033216
839,32621226902	413,213467497767
874,160502295212	412,516781354561
909,670457429673	411,806581902544
945,856077672395	411,082869141714
982,71736302339	410,345643072072
1020,25431348265	409,594903693618
1058,46692905017	408,830651006352
1097,35520972596	408,052885010273
1136,91915551002	407,261605705383
1177,15876640235	406,45681309168
1218,07404240294	405,638507169165
1259,6649835118	404,806687937838
1301,93158972892	403,961355397698
1344,87386105432	403,102509548747
1388,49179748797	402,230150390983
1432,7853990299	401,344277924407
1477,75466568009	400,444892149019
1523,39959743855	399,531993064819
1569,72019430527	398,605580671807
1616,71645628026	397,665654969982
1664,38838336352	396,712215959346
1712,73597555505	395,745263639897
1761,75923285484	394,764798011636
1811,4581552629	393,770819074562
1861,83274277922	392,763326828677
1912,88299540382	391,74232127398
1964,60891313667	390,70780241047
2017,0104959778	389,659770238148
2070,08774392719	388,598224757014
2123,84065698485	387,523165967068
2178,26923515077	386,434593868309
2233,37347842496	385,332508460739
2289,15338680742	384,216909744356
2345,60896029815	383,087797719161
2402,74019889714	381,945172385154
2460,5471026044	380,789033742334
2519,02967141992	379,619381790703
2578,18790534371	378,436216530259
2638,02180437577	377,239537961004
2698,5313685161	376,029346082935
2759,71659776469	374,805640896055
2821,57749212155	373,568422400363
2884,11405158667	372,317690595858
2947,32627616006	371,053445482542
