X	Layer 1: FBH Pressure
0	420
7,54649330530274	419,849070059655
15,7460485312569	419,685078874473
24,5986656778594	419,508026444454
34,1043447451164	419,317912769597
44,2630857330217	419,114737849902
55,0748886415817	418,89850168537
66,5397534707899	418,669204276001
78,6576802206496	418,426845621794
91,4286688911607	418,171425722749
104,852719482323	417,902944578867
118,929831994137	417,621402190148
133,660006426603	417,326798556591
149,043242779719	417,019133678196
165,079541053485	416,698407554964
181,768901247904	416,364620186894
199,111323362972	416,017771573987
217,106807398695	415,657861716243
235,755353355066	415,284890613661
255,056961232088	414,898858266241
275,011631029762	414,499764673984
295,619362748087	414,087609836889
316,880156387064	413,662393754957
338,794011946692	413,224116428188
361,360929426972	412,77277785658
384,5809088279	412,308378040136
408,453950149482	411,830916978854
432,980053391713	411,340394672734
458,159218554598	410,836811121777
483,991445638132	410,320166325982
510,476734642317	409,79046028535
537,615085567153	409,24769299988
565,406498412641	408,691864469573
593,85097317878	408,122974694429
622,948509865571	407,541023674446
652,699108473013	406,946011409627
683,102769001104	406,33793789997
714,159491449849	405,716803145475
745,869275819243	405,082607146143
778,232122109291	404,435349901973
811,248030319987	403,775031412966
844,917000451335	403,101651679121
879,239032503334	402,415210700439
914,214126475984	401,715708476919
949,842282369286	401,003145008562
986,12350018324	400,277520295367
1023,05777991784	399,538834337335
1060,6451215731	398,787087134465
1098,88552514901	398,022278686758
1137,77899064556	397,244408994213
1177,32551806277	396,453478056831
1217,52510740063	395,649485874611
1258,37775865914	394,832432447554
1299,8834718383	394,002317775659
1342,04224693812	393,159141858927
1384,85408395858	392,302904697357
1428,3189828997	391,43360629095
1472,43694376146	390,551246639705
1517,20796654388	389,655825743623
1562,63205124695	388,747343602703
1608,70919787067	387,825800216945
1655,43940641504	386,891195586351
1702,82267688007	385,943529710918
1750,85900926574	384,982802590648
1799,54840357206	384,009014225541
1848,89085979904	383,022164615596
1898,88637794667	382,022253760814
1949,53495801495	381,009281661194
2000,83660000387	379,983248316737
2052,79130391346	378,944153727442
2105,39906974369	377,89199789331
2158,65989749457	376,82678081434
2212,5737871661	375,748502490532
2267,14073875829	374,657162921887
2322,36075227113	373,552762108405
2378,23382770461	372,435300050085
2434,75996505875	371,304776746928
2491,93916433354	370,161192198933
2549,77142552898	369,0045464061
2608,25674864507	367,834839368431
2667,39513368182	366,652071085923
2727,18658063921	365,456241558578
2787,63108951726	364,247350786396
2848,72866031595	363,025398769376
2910,4792930353	361,790385507518
2972,8829876753	360,542311000823
3035,93974423595	359,281175249291
3099,64956271725	358,006978252921
3164,0124431192	356,719720011714
3229,02838544181	355,419400525669
3294,69738968506	354,106019794786
3361,01945584897	352,779577819066
3427,99458393353	351,440074598509
3495,62277393873	350,087510133114
3563,90402586459	348,721884422881
3632,8383397111	347,343197467811
3702,42571547827	345,951449267904
3772,66615316608	344,546639823159
3843,55965277454	343,128769133576
3915,10621430366	341,697837199156
3987,30583775342	340,253844019899
4060,15852312384	338,796789595804
4133,66427041491	337,326673926871
4207,82307962663	335,843497013101
4282,634950759	334,347258854494
4358,09988381202	332,837959451049
4434,21787878569	331,315598802766
4510,98893568002	329,780176909646
4588,41305449499	328,231693771688
4666,49023523062	326,670149388893
4745,2204778869	325,095543761261
4824,60378246383	323,507876888791
4904,64014896141	321,907148771483
4985,32957737964	320,293359409338
5066,67206771852	318,666508802355
5148,66761997806	317,026596950535
5231,31623415824	315,373623853878
5314,61791025908	313,707589512383
5398,57264828056	312,02849392605
5483,1804482227	310,33633709488
5568,44131008549	308,631119018872
5654,35523386893	306,912839698027
5740,92221957302	305,181499132344
5828,14226719776	303,437097321824
5916,01537674316	301,679634266467
6004,5415482092	299,909109966271
6093,7207815959	298,1216368262
6183,55307690325	296,311471090583
6274,03843413124	294,478201720158
6365,1768532799	292,621445123137
6456,9683343492	290,740804087768
6549,41287733915	288,835867108813
6642,51048224975	286,906207670074
6736,261149081	284,951383479379
6830,66487783291	282,970935652139
6925,72166850547	280,964387839171
7021,43152109868	278,931245294046
7117,79443561254	276,870993874767
7214,81041204704	274,783098974014
7312,4794504022	272,667004371593
7410,80155067802	270,522131002064
7509,77671287448	268,347875629721
7609,4049369916	266,143609422266
7709,68622302936	263,90867641353
7810,62057098778	261,642391844464
7912,20798086685	259,344040370416
8014,44845266657	257,012874121229
8117,34198638693	254,648110599103
8220,88858202796	252,248930397284
8325,08823958963	249,814474720521
8429,94095907196	247,343842685784
8535,44674047493	244,836088378903
8641,60558379856	242,290217639571
8748,41748904284	239,705184543339
8855,88245620776	237,079887544918
8964,00048529334	234,41316524195
9072,77157629957	231,703791712519
9182,19572922646	228,95047137267
9292,27294407399	226,151833292003
9403,00322084217	223,306424895748
9514,38655953101	220,412704970244
9626,42296014049	217,469035875111
9739,11242267063	214,473674849086
9852,45494712142	211,424764276959
9966,45053349286	208,320320761473
10081,099181785	205,158222815499
10196,4008919977	201,936196955058
10312,3556641311	198,651801931261
10428,9634981851	195,302410786906
10546,2243941598	191,885190358728
10664,1383520552	188,397077765591
