first,second
lowers,"[-Inf, -Inf, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597, 3133.1426977133597]"
times,"[0.0, 16.205695152282715, 16.848351001739502, 21.437332153320312, 21.90494704246521, 32.12156295776367, 32.53735613822937, 39.95351004600525, 40.34979200363159, 56.752565145492554, 57.16091799736023, 78.16004014015198, 78.56769299507141, 96.0611641407013, 110.84480094909668, 134.99324703216553, 134.9932520389557]"
uppers,"[Inf, 3159.8052725622856, 3159.8052725622856, 3159.598326684455, 3159.598326684455, 3158.643179435133, 3158.643179435133, 3152.811935347428, 3152.811935347428, 3150.543619331599, 3150.543619331599, 3150.421063446028, 3150.421063446028, 3145.2082436644087, 3144.271263713298, 3125.968590914679, 3133.1426977133597]"
q_inj_plat,506162.60165495344
q_liq_plat,3695.4299782283397
