first,second
lowers,"[-Inf, -Inf, 3382.6992074925074, 3382.6992074925074, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263, 3382.69920749263]"
times,"[0.0, 16.88472294807434, 19.354959964752197, 31.650548934936523, 32.300873041152954, 45.626335859298706, 46.20150303840637, 64.83396482467651, 65.25770401954651, 85.81114602088928, 86.20596694946289, 100.75427985191345, 101.16783285140991, 118.29877996444702, 118.70486998558044, 137.34050703048706, 137.7580168247223, 154.55685782432556, 154.96182799339294, 164.78774499893188, 165.19190788269043, 186.57708287239075, 209.73467087745667, 229.8487048149109, 251.1083219051361, 268.5952579975128, 268.5952618122101]"
uppers,"[Inf, 3395.471682205543, 3395.471682205543, 3395.471682205543, 3395.471682205543, 3395.427273967951, 3395.427273967951, 3394.789714232351, 3394.789714232351, 3392.238175352987, 3392.238175352987, 3392.2381753529867, 3392.2381753529867, 3390.600513564242, 3390.600513564242, 3390.6005135642426, 3390.6005135642426, 3390.5351390197384, 3390.5351390197384, 3390.5351390197384, 3390.5351390197384, 3388.8848780920616, 3388.8848780920616, 3388.416388116508, 3388.4163881165077, 3381.9370095465006, 3382.69920749263]"
q_inj_plat,663394.2941590899
q_liq_plat,4249.999999997778
